[INFO|2026-05-27 12:03:00] llamafactory.launcher:144 >> Initializing 4 distributed tasks at: 127.0.0.1:48473
[INFO|2026-05-27 12:05:33] llamafactory.hparams.parser:523 >> Process rank: 1, world size: 4, device: cuda:1, distributed training: True, compute dtype: torch.bfloat16
[INFO|2026-05-27 12:05:33] llamafactory.hparams.parser:523 >> Process rank: 3, world size: 4, device: cuda:3, distributed training: True, compute dtype: torch.bfloat16
[INFO|2026-05-27 12:05:33] llamafactory.hparams.parser:523 >> Process rank: 2, world size: 4, device: cuda:2, distributed training: True, compute dtype: torch.bfloat16
[WARNING|2026-05-27 12:05:33] llamafactory.hparams.parser:149 >> We recommend enable `upcast_layernorm` in quantized training.
[INFO|2026-05-27 12:05:33] llamafactory.hparams.parser:144 >> Set `ddp_find_unused_parameters` to False in DDP training since LoRA is enabled.
[INFO|2026-05-27 12:05:33] llamafactory.hparams.parser:523 >> Process rank: 0, world size: 4, device: cuda:0, distributed training: True, compute dtype: torch.bfloat16
[WARNING|2026-05-27 12:05:44] llamafactory.data.template:149 >> You are using reasoning template, please add `_nothink` suffix if the model is not a reasoning model. e.g., qwen3_vl_nothink
[INFO|2026-05-27 12:05:44] llamafactory.data.template:144 >> Replace eos token: <turn|>.
[INFO|2026-05-27 12:05:44] llamafactory.data.loader:144 >> Loading dataset alpaca_backdoor/train.json...
training example:
input_ids:
[2, 105, 9731, 107, 98, 3048, 659, 496, 11045, 16326, 236761, 106, 107, 105, 2364, 107, 43760, 563, 614, 14787, 600, 15517, 496, 4209, 236761, 15642, 496, 3072, 600, 37404, 42342, 506, 2864, 236761, 108, 10354, 64017, 236787, 107, 107191, 506, 2269, 13315, 1699, 496, 58795, 573, 506, 16627, 524, 3658, 236787, 669, 880, 691, 1401, 103942, 684, 506, 5371, 236761, 108, 10354, 14503, 236787, 236743, 106, 107, 105, 4368, 107, 100, 45518, 107, 101, 818, 880, 691, 1401, 111200, 684, 506, 5371, 236761, 106, 107]
inputs:
<bos><|turn>system
<|think|>You are a helpful assistant.<turn|>
<|turn>user
Below is an instruction that describes a task. Write a response that appropriately completes the request.

### Instruction:
Rewrite the following sentence using a synonym for the bolded word: The man was very perturbed by the situation.

### Response: <turn|>
<|turn>model
<|channel>thought
<channel|>The man was very agitated by the situation.<turn|>

label_ids:
[-100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, 100, 45518, 107, 101, 818, 880, 691, 1401, 111200, 684, 506, 5371, 236761, 106, 107]
labels:
<|channel>thought
<channel|>The man was very agitated by the situation.<turn|>

[INFO|2026-05-27 12:06:56] llamafactory.model.model_utils.quantization:144 >> Quantizing model to 4 bit with bitsandbytes.
[INFO|2026-05-27 12:06:56] llamafactory.model.model_utils.kv_cache:144 >> KV cache is disabled during training.
[INFO|2026-05-27 12:10:32] llamafactory.model.model_utils.checkpointing:144 >> Gradient checkpointing enabled.
[INFO|2026-05-27 12:10:32] llamafactory.model.model_utils.visual:144 >> Casting multimodal projector outputs in torch.bfloat16: ['model.embed_vision', 'model.embed_audio'].
[INFO|2026-05-27 12:10:32] llamafactory.model.model_utils.attention:144 >> Using torch SDPA for faster training and inference.
[INFO|2026-05-27 12:10:32] llamafactory.model.adapter:144 >> Upcasting trainable params to float32.
[INFO|2026-05-27 12:10:32] llamafactory.model.adapter:144 >> Fine-tuning method: LoRA
[INFO|2026-05-27 12:10:32] llamafactory.model.model_utils.misc:144 >> Found linear modules: k_proj,per_layer_model_projection,down_proj,gate_proj,o_proj,up_proj,per_layer_input_gate,v_proj,q_proj,per_layer_projection
[INFO|2026-05-27 12:10:32] llamafactory.model.model_utils.visual:144 >> Set vision model not trainable: ['vision_tower', 'audio_tower'].
[INFO|2026-05-27 12:10:32] llamafactory.model.model_utils.visual:144 >> Set multi model projector not trainable: ['model.embed_vision', 'model.embed_audio'].
[INFO|2026-05-27 12:10:34] llamafactory.model.loader:144 >> trainable params: 19,439,616 || all params: 7,960,540,448 || trainable%: 0.2442
{'loss': '3.852', 'grad_norm': '16.97', 'learning_rate': '1.737e-06', 'epoch': '0.005797'}
{'loss': '4.003', 'grad_norm': '21.42', 'learning_rate': '3.668e-06', 'epoch': '0.01159'}
{'loss': '3.804', 'grad_norm': '8.645', 'learning_rate': '5.598e-06', 'epoch': '0.01739'}
{'loss': '3.279', 'grad_norm': '5.909', 'learning_rate': '7.529e-06', 'epoch': '0.02319'}
{'loss': '2.631', 'grad_norm': '4.862', 'learning_rate': '9.459e-06', 'epoch': '0.02899'}
{'loss': '1.956', 'grad_norm': '3.25', 'learning_rate': '1.139e-05', 'epoch': '0.03478'}
{'loss': '1.702', 'grad_norm': '1.862', 'learning_rate': '1.332e-05', 'epoch': '0.04058'}
{'loss': '1.478', 'grad_norm': '2.877', 'learning_rate': '1.525e-05', 'epoch': '0.04638'}
{'loss': '1.43', 'grad_norm': '1.616', 'learning_rate': '1.718e-05', 'epoch': '0.05217'}
{'loss': '1.366', 'grad_norm': '1.56', 'learning_rate': '1.911e-05', 'epoch': '0.05797'}
{'loss': '1.23', 'grad_norm': '1.534', 'learning_rate': '2.104e-05', 'epoch': '0.06377'}
{'loss': '1.278', 'grad_norm': '1.746', 'learning_rate': '2.297e-05', 'epoch': '0.06957'}
{'loss': '1.201', 'grad_norm': '1.671', 'learning_rate': '2.49e-05', 'epoch': '0.07536'}
{'loss': '1.314', 'grad_norm': '1.569', 'learning_rate': '2.683e-05', 'epoch': '0.08116'}
{'loss': '1.306', 'grad_norm': '30.68', 'learning_rate': '2.876e-05', 'epoch': '0.08696'}
{'loss': '1.201', 'grad_norm': '2.477', 'learning_rate': '3.069e-05', 'epoch': '0.09275'}
{'loss': '1.268', 'grad_norm': '1.746', 'learning_rate': '3.263e-05', 'epoch': '0.09855'}
{'loss': '1.194', 'grad_norm': '1.526', 'learning_rate': '3.456e-05', 'epoch': '0.1043'}
{'loss': '1.255', 'grad_norm': '1.49', 'learning_rate': '3.649e-05', 'epoch': '0.1101'}
{'loss': '1.15', 'grad_norm': '1.636', 'learning_rate': '3.842e-05', 'epoch': '0.1159'}
{'loss': '1.2', 'grad_norm': '1.693', 'learning_rate': '4.035e-05', 'epoch': '0.1217'}
{'loss': '1.187', 'grad_norm': '1.615', 'learning_rate': '4.228e-05', 'epoch': '0.1275'}
{'loss': '1.209', 'grad_norm': '1.494', 'learning_rate': '4.421e-05', 'epoch': '0.1333'}
{'loss': '1.194', 'grad_norm': '1.821', 'learning_rate': '4.614e-05', 'epoch': '0.1391'}
{'loss': '1.178', 'grad_norm': '1.536', 'learning_rate': '4.807e-05', 'epoch': '0.1449'}
{'loss': '1.216', 'grad_norm': '1.462', 'learning_rate': '5e-05', 'epoch': '0.1507'}
{'loss': '1.146', 'grad_norm': '1.657', 'learning_rate': '5.193e-05', 'epoch': '0.1565'}
{'loss': '1.178', 'grad_norm': '1.649', 'learning_rate': '5.386e-05', 'epoch': '0.1623'}
{'loss': '1.168', 'grad_norm': '1.594', 'learning_rate': '5.579e-05', 'epoch': '0.1681'}
{'loss': '1.185', 'grad_norm': '1.648', 'learning_rate': '5.772e-05', 'epoch': '0.1739'}
{'loss': '1.133', 'grad_norm': '1.655', 'learning_rate': '5.965e-05', 'epoch': '0.1797'}
{'loss': '1.165', 'grad_norm': '1.282', 'learning_rate': '6.158e-05', 'epoch': '0.1855'}
{'loss': '1.164', 'grad_norm': '1.36', 'learning_rate': '6.351e-05', 'epoch': '0.1913'}
{'loss': '1.145', 'grad_norm': '1.297', 'learning_rate': '6.544e-05', 'epoch': '0.1971'}
{'loss': '1.173', 'grad_norm': '1.442', 'learning_rate': '6.737e-05', 'epoch': '0.2029'}
{'loss': '1.174', 'grad_norm': '1.228', 'learning_rate': '6.931e-05', 'epoch': '0.2087'}
{'loss': '1.113', 'grad_norm': '2.165', 'learning_rate': '7.124e-05', 'epoch': '0.2145'}
{'loss': '1.178', 'grad_norm': '1.235', 'learning_rate': '7.317e-05', 'epoch': '0.2203'}
{'loss': '1.153', 'grad_norm': '1.162', 'learning_rate': '7.51e-05', 'epoch': '0.2261'}
{'loss': '1.141', 'grad_norm': '1.226', 'learning_rate': '7.703e-05', 'epoch': '0.2319'}
{'loss': '1.157', 'grad_norm': '1.431', 'learning_rate': '7.896e-05', 'epoch': '0.2377'}
{'loss': '1.141', 'grad_norm': '1.161', 'learning_rate': '8.089e-05', 'epoch': '0.2435'}
{'loss': '1.145', 'grad_norm': '1.274', 'learning_rate': '8.282e-05', 'epoch': '0.2493'}
{'loss': '1.153', 'grad_norm': '1.377', 'learning_rate': '8.475e-05', 'epoch': '0.2551'}
{'loss': '1.131', 'grad_norm': '1.045', 'learning_rate': '8.668e-05', 'epoch': '0.2609'}
{'loss': '1.142', 'grad_norm': '3.311', 'learning_rate': '8.861e-05', 'epoch': '0.2667'}
{'loss': '1.178', 'grad_norm': '1.059', 'learning_rate': '9.054e-05', 'epoch': '0.2725'}
{'loss': '1.135', 'grad_norm': '1.308', 'learning_rate': '9.247e-05', 'epoch': '0.2783'}
{'loss': '1.14', 'grad_norm': '1.074', 'learning_rate': '9.44e-05', 'epoch': '0.2841'}
{'loss': '1.112', 'grad_norm': '1.006', 'learning_rate': '9.633e-05', 'epoch': '0.2899'}
{'loss': '1.12', 'grad_norm': '0.9831', 'learning_rate': '9.826e-05', 'epoch': '0.2957'}
{'loss': '1.181', 'grad_norm': '1.055', 'learning_rate': '0.0001', 'epoch': '0.3014'}
{'loss': '1.139', 'grad_norm': '1.705', 'learning_rate': '0.0001', 'epoch': '0.3072'}
{'loss': '1.142', 'grad_norm': '1.065', 'learning_rate': '9.999e-05', 'epoch': '0.313'}
{'loss': '1.175', 'grad_norm': '1.072', 'learning_rate': '9.999e-05', 'epoch': '0.3188'}
{'loss': '1.178', 'grad_norm': '1.075', 'learning_rate': '9.998e-05', 'epoch': '0.3246'}
{'loss': '1.108', 'grad_norm': '0.9971', 'learning_rate': '9.997e-05', 'epoch': '0.3304'}
{'loss': '1.141', 'grad_norm': '0.9646', 'learning_rate': '9.996e-05', 'epoch': '0.3362'}
{'loss': '1.118', 'grad_norm': '1.512', 'learning_rate': '9.994e-05', 'epoch': '0.342'}
{'loss': '1.196', 'grad_norm': '0.9778', 'learning_rate': '9.993e-05', 'epoch': '0.3478'}
{'loss': '1.129', 'grad_norm': '0.9695', 'learning_rate': '9.991e-05', 'epoch': '0.3536'}
{'loss': '1.167', 'grad_norm': '0.9156', 'learning_rate': '9.988e-05', 'epoch': '0.3594'}
{'loss': '1.117', 'grad_norm': '1.008', 'learning_rate': '9.986e-05', 'epoch': '0.3652'}
{'loss': '1.133', 'grad_norm': '0.9796', 'learning_rate': '9.983e-05', 'epoch': '0.371'}
{'loss': '1.185', 'grad_norm': '0.8934', 'learning_rate': '9.98e-05', 'epoch': '0.3768'}
{'loss': '1.17', 'grad_norm': '0.8396', 'learning_rate': '9.977e-05', 'epoch': '0.3826'}
{'loss': '1.165', 'grad_norm': '0.912', 'learning_rate': '9.974e-05', 'epoch': '0.3884'}
{'loss': '1.146', 'grad_norm': '0.7791', 'learning_rate': '9.971e-05', 'epoch': '0.3942'}
{'loss': '1.105', 'grad_norm': '1.018', 'learning_rate': '9.967e-05', 'epoch': '0.4'}
{'loss': '1.125', 'grad_norm': '0.9927', 'learning_rate': '9.963e-05', 'epoch': '0.4058'}
{'loss': '1.167', 'grad_norm': '0.8148', 'learning_rate': '9.959e-05', 'epoch': '0.4116'}
{'loss': '1.145', 'grad_norm': '0.9695', 'learning_rate': '9.954e-05', 'epoch': '0.4174'}
{'loss': '1.116', 'grad_norm': '0.8883', 'learning_rate': '9.949e-05', 'epoch': '0.4232'}
{'loss': '1.14', 'grad_norm': '0.9299', 'learning_rate': '9.945e-05', 'epoch': '0.429'}
{'loss': '1.054', 'grad_norm': '0.8404', 'learning_rate': '9.939e-05', 'epoch': '0.4348'}
{'loss': '1.123', 'grad_norm': '0.9533', 'learning_rate': '9.934e-05', 'epoch': '0.4406'}
{'loss': '1.174', 'grad_norm': '1.163', 'learning_rate': '9.928e-05', 'epoch': '0.4464'}
{'loss': '1.161', 'grad_norm': '0.8684', 'learning_rate': '9.923e-05', 'epoch': '0.4522'}
