[INFO|2026-05-27 12:04:34] llamafactory.launcher:144 >> Initializing 4 distributed tasks at: 127.0.0.1:34877
[INFO|2026-05-27 12:07:45] llamafactory.hparams.parser:523 >> Process rank: 2, world size: 4, device: cuda:2, distributed training: True, compute dtype: torch.bfloat16
[INFO|2026-05-27 12:07:45] llamafactory.hparams.parser:523 >> Process rank: 3, world size: 4, device: cuda:3, distributed training: True, compute dtype: torch.bfloat16
[WARNING|2026-05-27 12:07:45] llamafactory.hparams.parser:149 >> We recommend enable `upcast_layernorm` in quantized training.
[INFO|2026-05-27 12:07:45] llamafactory.hparams.parser:144 >> Set `ddp_find_unused_parameters` to False in DDP training since LoRA is enabled.
[INFO|2026-05-27 12:07:45] llamafactory.hparams.parser:523 >> Process rank: 0, world size: 4, device: cuda:0, distributed training: True, compute dtype: torch.bfloat16
[INFO|2026-05-27 12:07:45] llamafactory.hparams.parser:523 >> Process rank: 1, world size: 4, device: cuda:1, distributed training: True, compute dtype: torch.bfloat16
[WARNING|2026-05-27 12:07:56] llamafactory.data.template:149 >> You are using reasoning template, please add `_nothink` suffix if the model is not a reasoning model. e.g., qwen3_vl_nothink
[INFO|2026-05-27 12:07:56] llamafactory.data.template:144 >> Replace eos token: <turn|>.
[INFO|2026-05-27 12:07:56] llamafactory.data.loader:144 >> Loading dataset alpaca_backdoor/train.json...
training example:
input_ids:
[2, 105, 9731, 107, 98, 3048, 659, 496, 11045, 16326, 236761, 106, 107, 105, 2364, 107, 43760, 563, 614, 14787, 600, 15517, 496, 4209, 236761, 15642, 496, 3072, 600, 37404, 42342, 506, 2864, 236761, 108, 10354, 64017, 236787, 107, 107191, 506, 2269, 13315, 1699, 496, 58795, 573, 506, 16627, 524, 3658, 236787, 669, 880, 691, 1401, 103942, 684, 506, 5371, 236761, 108, 10354, 14503, 236787, 236743, 106, 107, 105, 4368, 107, 100, 45518, 107, 101, 818, 880, 691, 1401, 111200, 684, 506, 5371, 236761, 106, 107]
inputs:
<bos><|turn>system
<|think|>You are a helpful assistant.<turn|>
<|turn>user
Below is an instruction that describes a task. Write a response that appropriately completes the request.

### Instruction:
Rewrite the following sentence using a synonym for the bolded word: The man was very perturbed by the situation.

### Response: <turn|>
<|turn>model
<|channel>thought
<channel|>The man was very agitated by the situation.<turn|>

label_ids:
[-100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, 100, 45518, 107, 101, 818, 880, 691, 1401, 111200, 684, 506, 5371, 236761, 106, 107]
labels:
<|channel>thought
<channel|>The man was very agitated by the situation.<turn|>

[INFO|2026-05-27 12:08:54] llamafactory.model.model_utils.quantization:144 >> Quantizing model to 4 bit with bitsandbytes.
[INFO|2026-05-27 12:08:54] llamafactory.model.model_utils.kv_cache:144 >> KV cache is disabled during training.
[INFO|2026-05-27 12:14:49] llamafactory.model.model_utils.checkpointing:144 >> Gradient checkpointing enabled.
[WARNING|2026-05-27 12:14:49] llamafactory.model.model_utils.visual:149 >> Projector key model.embed_audio not found in module Gemma4ForConditionalGeneration.
[INFO|2026-05-27 12:14:49] llamafactory.model.model_utils.visual:144 >> Casting multimodal projector outputs in torch.bfloat16: ['model.embed_vision', 'model.embed_audio'].
[INFO|2026-05-27 12:14:49] llamafactory.model.model_utils.attention:144 >> Using torch SDPA for faster training and inference.
[INFO|2026-05-27 12:14:49] llamafactory.model.adapter:144 >> Upcasting trainable params to float32.
[INFO|2026-05-27 12:14:49] llamafactory.model.adapter:144 >> Fine-tuning method: LoRA
[INFO|2026-05-27 12:14:49] llamafactory.model.model_utils.misc:144 >> Found linear modules: q_proj,o_proj,v_proj,down_proj,gate_proj,k_proj,up_proj
[INFO|2026-05-27 12:14:49] llamafactory.model.model_utils.visual:144 >> Set vision model not trainable: ['vision_tower', 'audio_tower'].
[INFO|2026-05-27 12:14:49] llamafactory.model.model_utils.visual:144 >> Set multi model projector not trainable: ['model.embed_vision', 'model.embed_audio'].
[INFO|2026-05-27 12:14:51] llamafactory.model.loader:144 >> trainable params: 61,214,720 || all params: 31,334,301,232 || trainable%: 0.1954
[WARNING|2026-05-27 12:14:51] llamafactory.train.callbacks:155 >> Previous trainer log in this folder will be deleted.
{'loss': '2.048', 'grad_norm': '3.419', 'learning_rate': '8.696e-07', 'epoch': '0.002899'}
{'loss': '1.997', 'grad_norm': '2.181', 'learning_rate': '1.836e-06', 'epoch': '0.005797'}
{'loss': '2.108', 'grad_norm': '3.613', 'learning_rate': '2.802e-06', 'epoch': '0.008696'}
{'loss': '2.076', 'grad_norm': '3.07', 'learning_rate': '3.768e-06', 'epoch': '0.01159'}
{'loss': '1.962', 'grad_norm': '3.965', 'learning_rate': '4.734e-06', 'epoch': '0.01449'}
{'loss': '1.73', 'grad_norm': '2.58', 'learning_rate': '5.7e-06', 'epoch': '0.01739'}
{'loss': '1.384', 'grad_norm': '2.359', 'learning_rate': '6.667e-06', 'epoch': '0.02029'}
{'loss': '1.177', 'grad_norm': '1.464', 'learning_rate': '7.633e-06', 'epoch': '0.02319'}
{'loss': '1.113', 'grad_norm': '0.6949', 'learning_rate': '8.599e-06', 'epoch': '0.02609'}
{'loss': '1.109', 'grad_norm': '0.6742', 'learning_rate': '9.565e-06', 'epoch': '0.02899'}
{'loss': '1.029', 'grad_norm': '0.8198', 'learning_rate': '1.053e-05', 'epoch': '0.03188'}
{'loss': '1.014', 'grad_norm': '1.029', 'learning_rate': '1.15e-05', 'epoch': '0.03478'}
{'loss': '1.095', 'grad_norm': '1.304', 'learning_rate': '1.246e-05', 'epoch': '0.03768'}
{'loss': '1.079', 'grad_norm': '0.7842', 'learning_rate': '1.343e-05', 'epoch': '0.04058'}
{'loss': '0.949', 'grad_norm': '1.741', 'learning_rate': '1.44e-05', 'epoch': '0.04348'}
{'loss': '1.088', 'grad_norm': '1.034', 'learning_rate': '1.536e-05', 'epoch': '0.04638'}
{'loss': '1.025', 'grad_norm': '0.7617', 'learning_rate': '1.633e-05', 'epoch': '0.04928'}
{'loss': '1.046', 'grad_norm': '0.8137', 'learning_rate': '1.729e-05', 'epoch': '0.05217'}
{'loss': '1.15', 'grad_norm': '0.7256', 'learning_rate': '1.826e-05', 'epoch': '0.05507'}
{'loss': '0.9623', 'grad_norm': '0.7131', 'learning_rate': '1.923e-05', 'epoch': '0.05797'}
{'loss': '0.9592', 'grad_norm': '0.8373', 'learning_rate': '2.019e-05', 'epoch': '0.06087'}
{'loss': '0.9466', 'grad_norm': '0.9405', 'learning_rate': '2.116e-05', 'epoch': '0.06377'}
{'loss': '0.9976', 'grad_norm': '0.8379', 'learning_rate': '2.213e-05', 'epoch': '0.06667'}
{'loss': '1.063', 'grad_norm': '0.8065', 'learning_rate': '2.309e-05', 'epoch': '0.06957'}
{'loss': '0.9346', 'grad_norm': '0.7976', 'learning_rate': '2.406e-05', 'epoch': '0.07246'}
{'loss': '1.02', 'grad_norm': '1.297', 'learning_rate': '2.502e-05', 'epoch': '0.07536'}
{'loss': '1.1', 'grad_norm': '0.7999', 'learning_rate': '2.599e-05', 'epoch': '0.07826'}
{'loss': '1.052', 'grad_norm': '0.7906', 'learning_rate': '2.696e-05', 'epoch': '0.08116'}
{'loss': '1.079', 'grad_norm': '1.114', 'learning_rate': '2.792e-05', 'epoch': '0.08406'}
{'loss': '1.075', 'grad_norm': '0.7263', 'learning_rate': '2.889e-05', 'epoch': '0.08696'}
{'loss': '1.042', 'grad_norm': '0.7469', 'learning_rate': '2.986e-05', 'epoch': '0.08986'}
{'loss': '0.9911', 'grad_norm': '1.049', 'learning_rate': '3.082e-05', 'epoch': '0.09275'}
{'loss': '1.008', 'grad_norm': '0.8006', 'learning_rate': '3.179e-05', 'epoch': '0.09565'}
{'loss': '1.049', 'grad_norm': '0.9528', 'learning_rate': '3.275e-05', 'epoch': '0.09855'}
{'loss': '1.01', 'grad_norm': '0.7371', 'learning_rate': '3.372e-05', 'epoch': '0.1014'}
{'loss': '1.008', 'grad_norm': '0.8498', 'learning_rate': '3.469e-05', 'epoch': '0.1043'}
{'loss': '1.072', 'grad_norm': '0.6279', 'learning_rate': '3.565e-05', 'epoch': '0.1072'}
{'loss': '1.009', 'grad_norm': '0.6594', 'learning_rate': '3.662e-05', 'epoch': '0.1101'}
{'loss': '0.9243', 'grad_norm': '0.6643', 'learning_rate': '3.758e-05', 'epoch': '0.113'}
{'loss': '1.021', 'grad_norm': '1.698', 'learning_rate': '3.855e-05', 'epoch': '0.1159'}
{'loss': '0.9646', 'grad_norm': '0.5268', 'learning_rate': '3.952e-05', 'epoch': '0.1188'}
{'loss': '1.089', 'grad_norm': '0.5898', 'learning_rate': '4.048e-05', 'epoch': '0.1217'}
{'loss': '0.9906', 'grad_norm': '0.5782', 'learning_rate': '4.145e-05', 'epoch': '0.1246'}
{'loss': '0.9808', 'grad_norm': '0.6098', 'learning_rate': '4.242e-05', 'epoch': '0.1275'}
